proprietaryname,proprietarynamesuffix,nonproprietaryname,dosageformname,routename,startmarketingdate,endmarketingdate,substancename,active_numerator_strength,active_ingred_unit,pharm_classes
Valcyte,,valganciclovir hydrochloride,"POWDER, FOR SOLUTION",ORAL,20090828,,VALGANCICLOVIR HYDROCHLORIDE,50,mg/mL,"Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor [EPC],DNA Polymerase Inhibitors [MoA],Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"
Klonopin,,Clonazepam,TABLET,ORAL,19750602,,CLONAZEPAM,1,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]"
Klonopin,,Clonazepam,TABLET,ORAL,19750602,,CLONAZEPAM,0.5,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]"
Copegus,,Ribavirin,"TABLET, FILM COATED",ORAL,20021203,,RIBAVIRIN,200,mg/1,"Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"
Klonopin,,Clonazepam,TABLET,ORAL,19750602,,CLONAZEPAM,2,mg/1,"Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]"
Boniva,,ibandronate sodium,"TABLET, FILM COATED",ORAL,20020715,,IBANDRONATE SODIUM,150,mg/1,"Bisphosphonate [EPC],Diphosphonates [Chemical/Ingredient]"
Boniva,,ibandronate sodium,"INJECTION, SOLUTION",INTRAVENOUS,20110601,,IBANDRONATE SODIUM,3,mg/3mL,"Bisphosphonate [EPC],Diphosphonates [Chemical/Ingredient]"
Invirase,,saquinavir mesylate,"TABLET, FILM COATED",ORAL,20041217,,SAQUINAVIR MESYLATE,500,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC]"
Invirase,,saquinavir mesylate,CAPSULE,ORAL,19951206,,SAQUINAVIR MESYLATE,200,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC]"
Xenical,,orlistat,CAPSULE,ORAL,20101217,,ORLISTAT,120,mg/1,"Intestinal Lipase Inhibitor [EPC],Lipase Inhibitors [MoA]"
CellCept,,Mycophenolate Mofetil,CAPSULE,ORAL,19950503,,MYCOPHENOLATE MOFETIL,250,mg/1,Antimetabolite Immunosuppressant [EPC]
CellCept,,Mycophenolate Mofetil,"TABLET, FILM COATED",ORAL,19970619,,MYCOPHENOLATE MOFETIL,500,mg/1,Antimetabolite Immunosuppressant [EPC]
CellCept,,Mycophenolate Mofetil,"POWDER, FOR SUSPENSION",ORAL,19980812,,MYCOPHENOLATE MOFETIL,200,mg/mL,Antimetabolite Immunosuppressant [EPC]
CellCept,,Mycophenolate Mofetil hydrochloride,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,19981001,,MYCOPHENOLATE MOFETIL HYDROCHLORIDE,500,mg/20mL,Antimetabolite Immunosuppressant [EPC]
Pegasys,,peginterferon alfa-2a,"INJECTION, SOLUTION",SUBCUTANEOUS,20021016,,PEGINTERFERON ALFA-2A,180,ug/mL,"Interferon alpha [EPC],peginterferon alfa-2a [Chemical/Ingredient]"
Pegasys,,peginterferon alfa-2a,KIT,,20021016,20150731,,,,
Pegasys,,peginterferon alfa-2a,"INJECTION, SOLUTION",SUBCUTANEOUS,20110329,,PEGINTERFERON ALFA-2A,180,ug/.5mL,"Interferon alpha [EPC],peginterferon alfa-2a [Chemical/Ingredient]"
Pegasys,,peginterferon alfa-2a,"INJECTION, SOLUTION",SUBCUTANEOUS,20111101,,PEGINTERFERON ALFA-2A,135,ug/.5mL,"Interferon alpha [EPC],peginterferon alfa-2a [Chemical/Ingredient]"
Pegasys,,peginterferon alfa-2a,"INJECTION, SOLUTION",SUBCUTANEOUS,20111101,,PEGINTERFERON ALFA-2A,180,ug/.5mL,"Interferon alpha [EPC],peginterferon alfa-2a [Chemical/Ingredient]"
FUZEON,,Enfuvirtide,KIT,,20120410,,,,,
Mircera,,Methoxy polyethylene glycol-epoetin beta,"INJECTION, SOLUTION",INTRAVENOUS,20141024,,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,50,ug/.3mL,"Erythropoiesis-stimulating Agent [EPC],Erythropoietin [Chemical/Ingredient],Increased Erythroid Cell Production [PE]"
Mircera,,Methoxy polyethylene glycol-epoetin beta,"INJECTION, SOLUTION",INTRAVENOUS,20141024,,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,75,ug/.3mL,"Erythropoiesis-stimulating Agent [EPC],Erythropoietin [Chemical/Ingredient],Increased Erythroid Cell Production [PE]"
Mircera,,Methoxy polyethylene glycol-epoetin beta,"INJECTION, SOLUTION",INTRAVENOUS,20141024,,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,100,ug/.3mL,"Erythropoiesis-stimulating Agent [EPC],Erythropoietin [Chemical/Ingredient],Increased Erythroid Cell Production [PE]"
Mircera,,Methoxy polyethylene glycol-epoetin beta,"INJECTION, SOLUTION",INTRAVENOUS,20141024,,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,150,ug/.3mL,"Erythropoiesis-stimulating Agent [EPC],Erythropoietin [Chemical/Ingredient],Increased Erythroid Cell Production [PE]"
Mircera,,Methoxy polyethylene glycol-epoetin beta,"INJECTION, SOLUTION",INTRAVENOUS,20141024,,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,200,ug/.3mL,"Erythropoiesis-stimulating Agent [EPC],Erythropoietin [Chemical/Ingredient],Increased Erythroid Cell Production [PE]"
Mircera,,Methoxy polyethylene glycol-epoetin beta,"INJECTION, SOLUTION",INTRAVENOUS,20141024,,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,250,ug/.3mL,"Erythropoiesis-stimulating Agent [EPC],Erythropoietin [Chemical/Ingredient],Increased Erythroid Cell Production [PE]"
Tamiflu,,oseltamivir phosphate,CAPSULE,ORAL,19991027,,OSELTAMIVIR PHOSPHATE,75,mg/1,
Tamiflu,,oseltamivir phosphate,CAPSULE,ORAL,19991027,,OSELTAMIVIR PHOSPHATE,45,mg/1,
Tamiflu,,oseltamivir phosphate,CAPSULE,ORAL,19991027,,OSELTAMIVIR PHOSPHATE,30,mg/1,
Tamiflu,,Oseltamivir Phosphate,"POWDER, FOR SUSPENSION",ORAL,20130801,,OSELTAMIVIR PHOSPHATE,6,mg/mL,
Xeloda,,capecitabine,"TABLET, FILM COATED",ORAL,19980430,,CAPECITABINE,150,mg/1,"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]"
Xeloda,,capecitabine,"TABLET, FILM COATED",ORAL,19980430,,CAPECITABINE,500,mg/1,"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]"
Rocephin,,ceftriaxone sodium,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,19930813,,CEFTRIAXONE SODIUM,500,mg/1,"Cephalosporin Antibacterial [EPC],Cephalosporins [Chemical/Ingredient]"
Rocephin,,ceftriaxone sodium,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,19930813,,CEFTRIAXONE SODIUM,1,g/1,"Cephalosporin Antibacterial [EPC],Cephalosporins [Chemical/Ingredient]"
Anaprox,,naproxen sodium,TABLET,ORAL,19800904,,NAPROXEN SODIUM,275,mg/1,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
Anaprox DS,,naproxen sodium,TABLET,ORAL,19800904,,NAPROXEN SODIUM,550,mg/1,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
Naprosyn,,naproxen,TABLET,ORAL,19760311,,NAPROXEN,250,mg/1,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
Naprosyn,,naproxen,TABLET,ORAL,19760311,,NAPROXEN,375,mg/1,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
Naprosyn,,naproxen,TABLET,ORAL,19760311,,NAPROXEN,500,mg/1,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
EC-Naprosyn,,naproxen,"TABLET, DELAYED RELEASE",ORAL,19941014,,NAPROXEN,375,mg/1,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
EC-Naprosyn,,naproxen,"TABLET, DELAYED RELEASE",ORAL,19941014,,NAPROXEN,500,mg/1,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
Cytovene,IV,ganciclovir sodium,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,19890623,,GANCICLOVIR SODIUM,500,mg/10mL,"Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor [EPC],DNA Polymerase Inhibitors [MoA],Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"
Trumenba,,meningococcal group B vaccine,"INJECTION, SUSPENSION",INTRAMUSCULAR,20141105,,NEISSERIA MENINGITIDIS SEROGROUP B RECOMBINANT LP2086 A05 PROTEIN VARIANT ANTIGEN; NEISSERIA MENINGITIDIS SEROGROUP B RECOMBINANT LP2086 B01 PROTEIN VARIANT ANTIGEN,60; 60,ug/.5mL; ug/.5mL,
Prevnar,,Pneumococcal 7-valent,"INJECTION, SUSPENSION",INTRAMUSCULAR,20000301,,STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,2; 2; 2; 2; 2; 4; 2,ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL,"Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Conjugate [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient]"
PREVNAR 13,,pneumococcal 13-valent conjugate vaccine,"INJECTION, SUSPENSION",INTRAMUSCULAR,20100312,,STREPTOCOCCUS PNEUMONIAE TYPE 1 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 14 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 18C CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 19F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 23F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 3 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 5 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN; STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,2.2; 2.2; 2.2; 2.2; 2.2; 2.2; 2.2; 2.2; 2.2; 2.2; 4.4; 2.2; 2.2,ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL; ug/.5mL,"Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Vaccines, Inactivated [Chemical/Ingredient],Pneumococcal Vaccines [Chemical/Ingredient],Inactivated Pneumococcal Vaccine [EPC],Actively Acquired Immunity [PE],Pneumococcal Vaccines [Chemical/Ingredient],Vaccines, Conjugate [Chemical/Ingredient]"
FIBERCON,,CALCIUM POLYCARBOPHIL,TABLET,ORAL,20040105,,CALCIUM POLYCARBOPHIL,625,mg/1,
BELSOMRA,,suvorexant,"TABLET, FILM COATED",ORAL,20140829,,SUVOREXANT,5,mg/1,"Orexin Receptor Antagonist [EPC],Orexin Receptor Antagonists [MoA],P-Glycoprotein Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA]"
PRINIVIL,,lisinopril,TABLET,ORAL,19871229,,LISINOPRIL,5,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA]"
FOSAMAX,,alendronate sodium,TABLET,ORAL,19950929,,ALENDRONATE SODIUM,70,mg/1,"Bisphosphonate [EPC],Diphosphonates [Chemical/Ingredient]"
STROMECTOL,,ivermectin,TABLET,ORAL,19961122,,IVERMECTIN,3,mg/1,"Antiparasitic [EPC],Pediculicide [EPC]"
BELSOMRA,,suvorexant,"TABLET, FILM COATED",ORAL,20140829,,SUVOREXANT,10,mg/1,"Orexin Receptor Antagonist [EPC],Orexin Receptor Antagonists [MoA],P-Glycoprotein Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA]"
PROPECIA,,finasteride,"TABLET, FILM COATED",ORAL,19971219,,FINASTERIDE,1,mg/1,"5-alpha Reductase Inhibitor [EPC],5-alpha Reductase Inhibitors [MoA]"
PROSCAR,,FINASTERIDE,"TABLET, FILM COATED",ORAL,19920619,,FINASTERIDE,5,mg/1,"5-alpha Reductase Inhibitor [EPC],5-alpha Reductase Inhibitors [MoA]"
JANUMET,XR,sitagliptin and metformin hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20120202,,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,500; 50,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],Biguanide [EPC],Biguanides [Chemical/Ingredient]"
JANUMET,XR,sitagliptin and metformin hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20120202,,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,1000; 50,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],Biguanide [EPC],Biguanides [Chemical/Ingredient]"
JANUMET,XR,sitagliptin and metformin hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20120202,,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,1000; 100,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],Biguanide [EPC],Biguanides [Chemical/Ingredient]"
PRINIVIL,,lisinopril,TABLET,ORAL,19871229,,LISINOPRIL,10,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA]"
JANUVIA,,sitagliptin,"TABLET, FILM COATED",ORAL,20061016,,SITAGLIPTIN PHOSPHATE,50,mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA]"
PRINIVIL,,lisinopril,TABLET,ORAL,19871229,,LISINOPRIL,20,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA]"
JANUVIA,,sitagliptin,"TABLET, FILM COATED",ORAL,20061016,,SITAGLIPTIN PHOSPHATE,25,mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA]"
ISENTRESS,,RALTEGRAVIR,"TABLET, FILM COATED",ORAL,20071012,,RALTEGRAVIR POTASSIUM,400,mg/1,"HIV Integrase Inhibitors [MoA],Human Immunodeficiency Virus Integrase Strand Transfer Inhibitor [EPC]"
MAXALT,,rizatriptan benzoate,TABLET,ORAL,19980629,,RIZATRIPTAN BENZOATE,5,mg/1,"Serotonin 1b Receptor Agonists [MoA],Serotonin 1d Receptor Agonists [MoA],Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]"
MAXALT,,rizatriptan benzoate,TABLET,ORAL,19980629,,RIZATRIPTAN BENZOATE,10,mg/1,"Serotonin 1b Receptor Agonists [MoA],Serotonin 1d Receptor Agonists [MoA],Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]"
FOSAMAX PLUS D,,ALENDRONATE SODIUM and CHOLECALCIFEROL,TABLET,ORAL,20050407,,ALENDRONATE SODIUM; CHOLECALCIFEROL,70; 5600,mg/1; [iU]/1,"Vitamin D [Chemical/Ingredient],Vitamin D [EPC],Bisphosphonate [EPC],Diphosphonates [Chemical/Ingredient]"
JANUVIA,,sitagliptin,"TABLET, FILM COATED",ORAL,20061016,,SITAGLIPTIN PHOSPHATE,100,mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA]"
BELSOMRA,,suvorexant,"TABLET, FILM COATED",ORAL,20140829,,SUVOREXANT,15,mg/1,"Orexin Receptor Antagonist [EPC],Orexin Receptor Antagonists [MoA],P-Glycoprotein Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA]"
BELSOMRA,,suvorexant,"TABLET, FILM COATED",ORAL,20140829,,SUVOREXANT,20,mg/1,"Orexin Receptor Antagonist [EPC],Orexin Receptor Antagonists [MoA],P-Glycoprotein Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA]"
ZONTIVITY,,vorapaxar,"TABLET, FILM COATED",ORAL,20140508,,VORAPAXAR SULFATE,2.08,mg/1,"Protease-activated Receptor-1 Antagonist [EPC],Protease-activated Receptor-1 Antagonists [MoA]"
EMEND,,aprepitant,CAPSULE,ORAL,20030326,,APREPITANT,80,mg/1,"Neurokinin 1 Antagonists [MoA],Substance P/Neurokinin-1 Receptor Antagonist [EPC],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 2C9 Inducers [MoA]"
EMEND,,aprepitant,CAPSULE,ORAL,20030326,,APREPITANT,125,mg/1,"Neurokinin 1 Antagonists [MoA],Substance P/Neurokinin-1 Receptor Antagonist [EPC],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 2C9 Inducers [MoA]"
EMEND,,aprepitant,CAPSULE,ORAL,20030326,,APREPITANT,40,mg/1,"Neurokinin 1 Antagonists [MoA],Substance P/Neurokinin-1 Receptor Antagonist [EPC],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 2C9 Inducers [MoA]"
ISENTRESS,,RALTEGRAVIR,"TABLET, CHEWABLE",ORAL,20111221,,RALTEGRAVIR POTASSIUM,25,mg/1,"HIV Integrase Inhibitors [MoA],Human Immunodeficiency Virus Integrase Strand Transfer Inhibitor [EPC]"
ISENTRESS,,RALTEGRAVIR,"TABLET, CHEWABLE",ORAL,20111221,,RALTEGRAVIR POTASSIUM,100,mg/1,"HIV Integrase Inhibitors [MoA],Human Immunodeficiency Virus Integrase Strand Transfer Inhibitor [EPC]"
JUVISYNC,,SITAGLIPTIN and SIMVASTATIN,"TABLET, FILM COATED",ORAL,20120918,,SIMVASTATIN; SITAGLIPTIN PHOSPHATE,10; 50,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
JUVISYNC,,SITAGLIPTIN and SIMVASTATIN,"TABLET, FILM COATED",ORAL,20120918,,SIMVASTATIN; SITAGLIPTIN PHOSPHATE,20; 50,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
JUVISYNC,,SITAGLIPTIN and SIMVASTATIN,"TABLET, FILM COATED",ORAL,20120918,,SIMVASTATIN; SITAGLIPTIN PHOSPHATE,40; 50,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
ZOCOR,,SIMVASTATIN,"TABLET, FILM COATED",ORAL,19911223,,SIMVASTATIN,80,mg/1,"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
ZOLINZA,,vorinostat,CAPSULE,ORAL,20061006,,VORINOSTAT,100,mg/1,"Histone Deacetylase Inhibitor [EPC],Histone Deacetylase Inhibitors [MoA]"
CRIXIVAN,,indinavir sulfate,CAPSULE,ORAL,19960313,,INDINAVIR SULFATE,200,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC]"
CRIXIVAN,,indinavir sulfate,CAPSULE,ORAL,19960313,,INDINAVIR SULFATE,400,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC]"
JANUMET,,SITAGLIPTIN and METFORMIN HYDROCHLORIDE,"TABLET, FILM COATED",ORAL,20070330,,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,500; 50,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],Biguanide [EPC],Biguanides [Chemical/Ingredient]"
JANUMET,,SITAGLIPTIN and METFORMIN HYDROCHLORIDE,"TABLET, FILM COATED",ORAL,20070330,,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,1000; 50,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],Biguanide [EPC],Biguanides [Chemical/Ingredient]"
FOSAMAX PLUS D,,ALENDRONATE SODIUM and CHOLECALCIFEROL,TABLET,ORAL,20050407,,ALENDRONATE SODIUM; CHOLECALCIFEROL,70; 2800,mg/1; [iU]/1,"Bisphosphonate [EPC],Diphosphonates [Chemical/Ingredient],Vitamin D [Chemical/Ingredient],Vitamin D [EPC]"
HYZAAR,,losartan potassium and hydrochlorothiazide,"TABLET, FILM COATED",ORAL,19950428,,HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM,12.5; 50,mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC],Increased Diuresis [PE],Thiazide Diuretic [EPC],Thiazides [Chemical/Ingredient]"
